x,y,theta,normPosition,normAngle
x,y,phi,normPosition,normDirection
0,0,0,0,0
0,0,1,0,0
0,0,2,0,0
0,0,3,0,0
0,0,4,0,0
0,0,5,0,0
0,0,6,0,0
0,0,7,0,0
0,0,8,0,0
0,0,9,0,0
0,0,10,0,0
0,0,11,0,0
0,0,12,0,0
0,0,13,0,0
0,0,14,0,0
0,0,15,0,0
0,1,0,0,0
0,1,1,1,0
0,1,2,1,0
0,1,3,1,0
0,1,4,1,0
0,1,5,1,0
0,1,6,1,0
0,1,7,1,0
0,1,8,1,0
0,1,9,1,0
0,1,10,1,0
0,1,11,1,0
0,1,12,1,0
0,1,13,1,0
0,1,14,1,0
0,1,15,1,0
0,2,0,1,0
0,2,1,1,0
0,2,2,1,0
0,2,3,1,0
0,2,4,1,0
0,2,5,1,0
0,2,6,1,0
0,2,7,1,0
0,2,8,1,0
0,2,9,1,0
0,2,10,1,0
0,2,11,1,0
0,2,12,1,0
0,2,13,1,0
0,2,14,1,0
0,2,15,1,0
0,3,0,1,0
0,3,1,1,0
0,3,2,1,0
0,3,3,1,0
0,3,4,1,0
0,3,5,1,0
0,3,6,1,0
0,3,7,1,0
0,3,8,1,0
0,3,9,1,0
0,3,10,1,0
0,3,11,1,0
0,3,12,1,0
0,3,13,1,0
0,3,14,1,0
0,3,15,1,0
0,4,0,1,0
0,4,1,1,0
0,4,2,1,0
0,4,3,1,0
0,4,4,1,0
0,4,5,1,0
0,4,6,1,0
0,4,7,1,0
0,4,8,1,0
0,4,9,1,0
0,4,10,1,0
0,4,11,1,0
0,4,12,1,0
0,4,13,1,0
0,4,14,1,0
0,4,15,1,0
0,5,0,1,0
0,5,1,1,0
0,5,2,1,0
0,5,3,1,0
0,5,4,1,0
0,5,5,1,0
0,5,6,1,0
0,5,7,1,0
0,5,8,1,0
0,5,9,1,0
0,5,10,1,0
0,5,11,1,0
0,5,12,1,0
0,5,13,1,0
0,5,14,1,0
0,5,15,1,0
0,6,0,1,0
0,6,1,1,0
0,6,2,1,0
0,6,3,1,0
0,6,4,1,0
0,6,5,1,0
0,6,6,1,0
0,6,7,1,0
0,6,8,1,0
0,6,9,1,0
0,6,10,1,0
0,6,11,1,0
0,6,12,1,0
0,6,13,1,0
0,6,14,1,0
0,6,15,1,0
0,7,0,1,0
0,7,1,1,0
0,7,2,1,0
0,7,3,1,0
0,7,4,1,0
0,7,5,1,0
0,7,6,1,0
0,7,7,1,0
0,7,8,1,0
0,7,9,1,0
0,7,10,1,0
0,7,11,1,0
0,7,12,1,0
0,7,13,1,0
0,7,14,1,0
0,7,15,1,0
0,8,0,1,0
0,8,1,1,0
0,8,2,1,0
0,8,3,1,0
0,8,4,1,0
0,8,5,1,0
0,8,6,1,0
0,8,7,1,0
0,8,8,1,0
0,8,9,1,0
0,8,10,1,0
0,8,11,1,0
0,8,12,1,0
0,8,13,1,0
0,8,14,1,0
0,8,15,1,0
0,9,0,1,0
0,9,1,1,0
0,9,2,1,0
0,9,3,1,0
0,9,4,1,0
0,9,5,1,0
0,9,6,1,0
0,9,7,1,0
0,9,8,1,0
0,9,9,1,0
0,9,10,1,0
0,9,11,1,0
0,9,12,1,0
0,9,13,1,0
0,9,14,1,0
0,9,15,1,0
0,10,0,1,0
0,10,1,1,0
0,10,2,1,0
0,10,3,1,0
0,10,4,1,0
0,10,5,1,0
0,10,6,1,0
0,10,7,1,0
0,10,8,1,0
0,10,9,1,0
0,10,10,1,0
0,10,11,1,0
0,10,12,1,0
0,10,13,1,0
0,10,14,1,0
0,10,15,1,0
0,11,0,1,0
0,11,1,1,0
0,11,2,1,0
0,11,3,1,0
0,11,4,1,0
0,11,5,1,0
0,11,6,1,0
0,11,7,1,0
0,11,8,1,0
0,11,9,1,0
0,11,10,1,0
0,11,11,1,0
0,11,12,1,0
0,11,13,1,0
0,11,14,1,0
0,11,15,1,0
0,12,0,1,0
0,12,1,1,0
0,12,2,1,0
0,12,3,1,0
0,12,4,1,0
0,12,5,1,0
0,12,6,1,0
0,12,7,1,0
0,12,8,1,0
0,12,9,1,0
0,12,10,1,0
0,12,11,1,0
0,12,12,1,0
0,12,13,1,0
0,12,14,1,0
0,12,15,1,0
0,13,0,1,0
0,13,1,1,0
0,13,2,1,0
0,13,3,1,0
0,13,4,1,0
0,13,5,1,0
0,13,6,1,0
0,13,7,1,0
0,13,8,1,0
0,13,9,1,0
0,13,10,1,0
0,13,11,1,0
0,13,12,1,0
0,13,13,1,0
0,13,14,1,0
0,13,15,1,0
0,14,0,1,0
0,14,1,1,0
0,14,2,1,0
0,14,3,1,0
0,14,4,1,0
